	word	piantadosi	piantadosi_buggy	cch	cch_buggy	zipf	length	only_lowercase_letters
89181	lively	5.3502939163008705	5.259804875	6.398381811139571	6.223257108386622	1.3862943611198906	6	True
89182	liver	1.6169359809704829	1.5510335984634145	2.8932957365716243	2.938181678829258	3.713572066704308	5	True
89184	liveried	10.845733962021768	10.95925	10.845733962021768	10.95925	0.0	8	True
89185	livery	3.5054316756968547	3.1584723500000003	3.7505758950697947	3.62277527159636	0.6931471805599453	6	True
89187	lives	3.2820992226987027	3.2674977299102563	4.7755779816198904	4.954651354377955	4.356708826689592	5	True
89190	livestock	4.503913567401469	4.2197326833333335	6.015275807177568	5.820158499961688	2.4849066497880004	9	True
89193	livid	6.38933601975441	6.2565823	6.38933601975441	6.2565823	0.0	5	True
89194	living	2.489030923639721	2.523825761091916	5.4122883802191	5.561473832078105	5.117993812416755	6	True
89198	lizards	11.768129169940948	12.134075	11.768129169940948	12.134075	0.0	7	True
89200	ljute	10.804404854774477	10.675254	10.804404854774477	10.675254	0.0	5	True
89201	lo	5.6285788676468655	5.819047325	6.919582945413072	7.075856822465195	1.3862943611198906	2	True
89203	load	4.297057594014665	4.135100592742857	6.430293972558279	6.234400788023698	2.6390573296152584	4	True
89207	loaded	3.8833266041515992	3.8845658142857142	4.842407939293086	4.855972623434046	1.9459101490553132	6	True
89209	loading	3.307458743918687	3.33124789875	4.410537485637205	4.353937643010083	2.0794415416798357	7	True
89210	loadings	1.8881564098410308	4.969515	1.8881564098410308	4.969515	0.0	8	True
89211	loads	6.936602576379665	6.7041511	7.281540911616987	7.077592395527518	1.6094379124341003	5	True
89215	loamy	7.501183226704597	7.474393	7.501183226704597	7.474393	0.0	5	True
89216	loan	1.3757006308068496	1.2575009999545455	2.7707383858637344	2.8368914324190144	3.784189633918261	4	True
89219	loaned	4.361902864630143	4.354561307142857	6.7126005976607726	6.707863733684416	2.6390573296152584	6	True
89221	loans	5.146406710613519	4.96515315375	6.849460589211422	6.619587560578535	2.0794415416798357	5	True
89223	loathe	12.718033471144736	12.730373	12.718033471144736	12.730373	0.0	6	True
89224	loathes	10.413909291814887	10.411126	10.413909291814887	10.411126	0.0	7	True
89225	lobby	2.963296104595065	2.88250574	3.863238661177724	3.7281409274484103	1.6094379124341003	5	True
89229	lobbying	6.663297858438455	6.659971499999999	6.699712268100834	6.696605095108328	0.6931471805599453	8	True
89230	lobbyist	12.267411597073078	12.01575	12.267411597073078	12.01575	0.0	8	True
89231	lobe	1.6669118320569396	1.327436695	3.194707787474094	3.3380847147181605	2.0794415416798357	4	True
89234	lobes	1.713093300536275	1.6183069410000002	2.9929813185132175	3.0454565106731377	2.302585092994046	5	True
89239	loca	9.08227288722992	8.866686	9.08227288722992	8.866686	0.0	4	True
89240	local	3.906231930616291	3.9059131221208787	4.9853154932493355	4.995978094447599	5.8971538676367405	5	True
89242	locales	6.549453914165497	6.3434377	6.549453914165496	6.3434377	0.0	7	True
89243	localised	10.255386773729697	10.254189	10.255386773729697	10.254189	0.0	9	True
89244	localities	1.506998981659611	1.493275022	4.312611606236244	4.328146467225035	1.0986122886681098	10	True
89246	locality	6.822991076915059	6.721437135	9.72178212774376	9.801666309662052	2.0794415416798357	8	True
89249	localized	6.925836129114032	6.930008675	8.504144510270978	8.513983845532065	1.3862943611198906	9	True
89251	locally	7.548321366238479	7.440880946153846	8.518611936487199	8.403955470300673	2.5649493574615367	7	True
89255	locals	4.909615632965422	4.758407477769231	5.939694768875036	5.79248369803224	2.5649493574615367	6	True
89256	locate	4.40412655681818	4.395776161111112	5.501867690649173	5.495369226257473	2.1972245773362196	6	True
89257	located	2.684007093403861	2.7130900007257526	3.858216721339271	3.937071479421408	5.700443573390687	7	True
89260	locates	4.42080374804209	4.456792	4.42080374804209	4.456792	0.0	7	True
89261	locating	6.698393848259002	6.70528635	8.464844795252557	8.477551294125425	0.6931471805599453	8	True
89262	location	3.5418651657797455	3.33480147425	5.464213783869261	5.480052441805447	4.382026634673881	8	True
89267	locations	4.124906181251421	3.880216976551724	5.006915559251843	4.828578131817274	3.367295829986474	9	True
89274	lock	5.075920371405248	4.890728157142857	7.298693167564214	7.269829435564752	1.9459101490553132	4	True
89276	lockdown	0.8811751008033752	0.70105875	0.8811751008033752	0.70105875	0.0	8	True
89277	locked	4.920711876169662	4.906081623076923	5.846929548662846	5.840639581836673	2.5649493574615367	6	True
89278	locker	3.9892538321825364	3.9673345799999997	5.875449240901444	5.850361239850727	1.0986122886681098	6	True
89280	locking	6.296352776174899	6.2824448	6.9784009851208095	6.959861528080036	1.3862943611198906	7	True
89281	lockout	2.2970805328805	2.56101842	3.061466804282138	3.6129195221455417	1.0986122886681098	7	True
89283	locks	4.743612499153824	4.75550022	5.506185101220074	5.534679642290727	1.6094379124341003	5	True
89286	locomotive	3.840922624700599	3.763637823111111	5.902159689220909	5.8785239919982635	2.1972245773362196	10	True
89287	locomotives	2.734055831392743	2.732267353	5.256066733262304	5.12611563155813	2.302585092994046	11	True
89291	locules	7.106207387754694	6.1903085	7.181240700607898	6.625756079455893	0.6931471805599453	7	True
89292	locum	5.753513858115184	5.7513018	8.799160766997632	8.797133875276842	0.6931471805599453	5	True
89293	lodge	4.295903246238595	4.256211931818182	8.214658026758439	8.291149249616497	2.3978952727983707	5	True
89294	lodged	2.767691702852608	2.756592448	3.445637354999268	3.4355450008852175	1.6094379124341003	6	True
89295	lodgement	5.072339951992035	4.624691	5.072339951992035	4.624691	0.0	9	True
89296	lodgers	1.6226868329104036	1.0008674	1.6226868329104038	1.0008674	0.0	7	True
89297	lodges	7.161735327448696	7.1287613	7.161735327448696	7.1287613	0.0	6	True
89298	lofty	6.140328154433519	6.1340165	6.140328154433519	6.1340165	0.0	5	True
89299	log	3.6929121108001306	3.6043642244444447	5.809561217123686	5.779901975439531	2.1972245773362196	3	True
89303	logarithm	3.584206751722377	3.5770102999999995	4.499407385805087	4.490537014587368	1.3862943611198906	9	True
89304	logarithmic	2.658584874297958	2.6565428	2.705938556301931	2.703449226427615	0.6931471805599453	11	True
89305	logarithms	1.3449517562548863	1.1993770149999998	2.1294603873754205	1.8777267812363938	0.6931471805599453	10	True
89306	logged	5.437126069662294	5.311408257142857	6.7910814942495215	6.660836185392966	1.9459101490553132	6	True
89307	loggers	2.529239776544273	2.536798	2.529239776544273	2.536798	0.0	7	True
89308	loggia	3.977686089773973	3.9480906	4.125815140961785	4.012501897751835	1.0986122886681098	6	True
89310	logging	5.8746358609132585	5.8069061125	7.061221093903327	7.02336014411974	2.0794415416798357	7	True
89312	logic	3.984714381068691	3.6799319272727273	5.588800515103519	5.577460375660107	2.3978952727983707	5	True
89314	logical	2.7308110920130275	2.7318318	2.7308110920130275	2.7318318	0.0	7	True
89316	logicians	5.465809926390648	5.246899	5.465809926390648	5.246899	0.0	9	True
89317	login	0.7830876335501671	0.7717508	0.7830876335501672	0.7717508000000001	0.0	5	True
89318	logistic	4.980167374014854	4.9483137	4.980167374014854	4.9483137	0.0	8	True
89319	logistical	7.470695087889908	7.460496833333333	8.06813764542115	8.055796760776065	1.791759469228055	10	True
89320	logistics	3.6219441816210747	3.4135909	3.6446816213901747	3.4465390861316214	0.6931471805599453	9	True
89322	logline	6.97518715262413	6.432253	6.97518715262413	6.432253	0.0	7	True
89323	logo	3.9348215156545243	3.65042718	6.415280748862394	6.17480261899001	2.4849066497880004	4	True
89326	logs	2.505069399252534	2.1067541671428573	4.201368995772408	3.7873101402901925	1.9459101490553132	4	True
89329	loins	14.78861599159427	14.786472	14.78861599159427	14.786472	0.0	5	True
89331	lois	0.9477324500439863	0.9441835850000001	1.7037340754888985	1.6801740953726954	0.6931471805599453	4	True
89332	loitering	9.70769017134444	9.620502	9.70769017134444	9.620502	0.0	9	True
89334	lone	5.626747800642624	5.59627666	6.638981163805006	6.599205516911158	2.302585092994046	4	True
89335	loneliness	8.196281909942627	7.1651464	8.196281909942627	7.1651464	0.0	10	True
89337	lonely	7.393446805576484	7.336746433333334	8.424273578883488	8.37506409650794	1.0986122886681098	6	True
89339	long	3.330838771688115	3.0836938815318184	5.676467733725618	5.637848817991163	5.575949103146316	4	True
89365	longer	1.3648791263892655	1.3379207776503173	5.844304123943084	5.634881342579922	4.836281906951478	6	True
89372	longest	3.0228662312729284	2.9542599175	5.649719435067225	5.653029562206909	2.0794415416798357	7	True
89375	longevity	3.17094534697632	3.0759402333333328	3.3053126624332325	3.2071982133647756	1.0986122886681098	9	True
89377	longhaired	7.446699842810631	7.276334	7.446699842810631	7.276334	0.0	10	True
89378	longhouses	2.7799254436977208	2.3644067	3.292009226335545	2.6237634256076925	0.6931471805599453	10	True
89379	longin	8.873773410916328	8.742831	8.873773410916328	8.742831	0.0	6	True
89380	longings	6.545081910764566	6.4616838	6.545081910764567	6.4616838	0.0	8	True
89381	longitude	4.986753668868914	4.9640617018499995	9.933025463056566	9.917376419297069	0.6931471805599453	9	True
89382	longitudes	11.035889491438866	10.973955	11.035889491438866	10.973955	0.0	10	True
89383	longitudinal	5.312350018027549	5.283772241944444	6.251976077720418	6.212070900768257	2.1972245773362196	12	True
