predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
105	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	5	0.0445301626950503	0.0236577764928247	-0.000136298064571605
106	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	6	0.0444219376043105	0.0269731017182773	0.00148258045623173
107	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	7	0.0372713443255055	0.0210836912193546	-0.000128756048730416
108	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	8	0.0344246292756587	0.0131431391475481	0.000640314347620574
109	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	9	0.0374531872381869	0.022127858246872	0.00140512071569976
110	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	10	0.0387363720427913	0.00951659093763624	0.00100487727167664
111	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	1	0.0468851504032743	0.0292411019943399	-0.000422820149672098
112	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	2	0.0473203946233678	0.0229690533467348	0.000805184426763361
113	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	3	0.0402832778302589	0.0205138374016025	0.000619761669041985
114	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	4	0.055448511282969	0.0297048833086526	-0.000278784977842506
115	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	5	0.0445301626950503	0.0236577764928247	-0.000136298064571605
116	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	6	0.0444219376043105	0.0269731017182773	0.00148258045623173
117	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	7	0.0372713443255055	0.0210836912193546	-0.000128756048730416
118	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	8	0.0344246292756587	0.0131431391475481	0.000640314347620574
119	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	9	0.0374531872381869	0.022127858246872	0.00140512071569976
120	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	10	0.0387363720427913	0.00951659093763624	0.00100487727167664
121	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	1	0.0468851504032743	0.0292411019943399	-0.000422820149672098
122	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	2	0.0473203946233678	0.0229690533467348	0.000805184426763361
123	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	3	0.0402832778302589	0.0205138374016025	0.000619761669041985
124	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	4	0.055448511282969	0.0297048833086526	-0.000278784977842506
125	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	5	0.0445301626950503	0.0236577764928247	-0.000136298064571605
126	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	6	0.0444219376043105	0.0269731017182773	0.00148258045623173
127	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	7	0.0372713443255055	0.0210836912193546	-0.000128756048730416
128	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	8	0.0344246292756587	0.0131431391475481	0.000640314347620574
129	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	9	0.0374531872381869	0.022127858246872	0.00140512071569976
130	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	10	0.0387363720427913	0.00951659093763624	0.00100487727167664
131	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	1	0.0468851504032743	0.0292411019943399	-0.000422820149672098
132	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	2	0.0473203946233678	0.0229690533467348	0.000805184426763361
133	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	3	0.0402832778302589	0.0205138374016025	0.000619761669041985
134	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	4	0.055448511282969	0.0297048833086526	-0.000278784977842506
135	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	5	0.0445301626950503	0.0236577764928247	-0.000136298064571605
136	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	6	0.0444219376043105	0.0269731017182773	0.00148258045623173
137	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	7	0.0372713443255055	0.0210836912193546	-0.000128756048730416
138	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	8	0.0344246292756587	0.0131431391475481	0.000640314347620574
139	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	9	0.0374531872381869	0.022127858246872	0.00140512071569976
140	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	10	0.0387363720427913	0.00951659093763624	0.00100487727167664
141	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	1	0.0473079705529464	0.029663922144012	0
142	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	2	0.0465152101966044	0.0221638689199715	0
143	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	3	0.039663516161216	0.0198940757325596	-8.88178419700125e-16
144	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	4	0.0557272962608124	0.029983668286496	8.88178419700125e-16
145	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	5	0.0446664607596219	0.0237940745573963	0
146	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	6	0.0429393571480787	0.0254905212620455	0
147	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	7	0.037400100374235	0.0212124472680841	-8.88178419700125e-16
148	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	8	0.0337843149280381	0.0125028247999275	0
