predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
133	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	3	0.0353306452761535	0.0203872363773066	0.000549009713663118
134	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	4	0.0410422683443477	0.0206860031888434	-0.000417467906407509
135	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	5	0.0342969808089979	0.0221747978587254	0.000131965283097557
136	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	6	0.0342220811139926	0.0175197751960274	0.000921850433733162
137	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	7	0.0241541342322513	0.0124375440427515	-0.000399999804605145
138	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	8	0.0294426563098895	0.0118785246316122	0.000176999750514995
139	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	9	0.0231432652462402	0.0119619363724013	0.00124960038022515
140	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	10	0.0225075992125774	0.00580569050177449	0.00123177738045754
141	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	1	0.0354832406496968	0.0166683868732651	0
142	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	2	0.0438205951741786	0.0160789271660233	0
143	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	3	0.0347816355624913	0.0198382266636443	8.88178419700125e-16
144	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	4	0.0414597362507552	0.0211034710952509	0
145	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	5	0.0341650155259003	0.0220428325756279	0
146	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	6	0.0333002306802603	0.0165979247622952	8.88178419700125e-16
147	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	7	0.0245541340368565	0.0128375438473567	0
148	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	8	0.0292656565593736	0.0117015248810963	-8.88178419700125e-16
149	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	9	0.021893664866016	0.010712335992177	8.88178419700125e-16
150	surprisal_buggy + prev_surprisal_buggy + prev2_surprisal_buggy + prev3_surprisal_buggy	1	surprisal_buggy	10	0.0212758218321198	0.00457391312131694	0
151	surprisal + surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal_buggy	1	0.0356436799584525	0.0168288261820209	0.000160439308755755
152	surprisal + surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal_buggy	2	0.0445859712406582	0.016844303232503	0.000765376066479639
153	surprisal + surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal_buggy	3	0.0353443824809414	0.0204009735820945	0.00056274691845104
154	surprisal + surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal_buggy	4	0.0403382798531062	0.019982014697602	-0.00112145639764893
155	surprisal + surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal_buggy	5	0.0342746103786764	0.022152427428404	0.000109594852776063
156	surprisal + surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal_buggy	6	0.0342383370898158	0.0175360311718507	0.000938106409556383
157	surprisal + surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal_buggy	7	0.0240769320849008	0.012360341895401	-0.000477201951955664
158	surprisal + surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal_buggy	8	0.0292941732960852	0.0117300416178079	2.85167367106709e-05
159	surprisal + surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal_buggy	9	0.0230049036018167	0.0118235747279778	0.00111123873580166
160	surprisal + surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal_buggy	10	0.0225267246959655	0.0058248159851626	0.00125090286384566
161	surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal_buggy	1	0.0353309757946834	0.0165161220182517	-0.000152264855013406
162	surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal_buggy	2	0.0436324650410986	0.0158907970329434	-0.000188130133079945
163	surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal_buggy	3	0.0347073755930625	0.0197639666942155	-7.42599694278923e-05
164	surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal_buggy	4	0.0421211644112356	0.0217648992557313	0.000661428160480426
165	surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal_buggy	5	0.0339804305998923	0.0218582476496199	-0.000184584926008036
166	surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal_buggy	6	0.0334156003561779	0.0167132944382127	0.000115369675918409
167	surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal_buggy	7	0.0241752523875283	0.0124586621980285	-0.0003788816493282
168	surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal_buggy	8	0.0298679708603791	0.0123038391821018	0.000602314301004547
169	surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal_buggy	9	0.021693183099643	0.010511854225804	-0.000200481766372107
170	surprisal_buggy + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal_buggy	10	0.0219217201302371	0.00521981141943417	0.000645898298117231
171	surprisal + prev_surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	5	prev_surprisal_buggy	1	0.0350381816671934	0.0162233278907618	-0.000445058982503355
172	surprisal + prev_surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	5	prev_surprisal_buggy	2	0.0445251105893689	0.0167834425812137	0.000704515415190343
173	surprisal + prev_surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	5	prev_surprisal_buggy	3	0.0352960680320704	0.0203526591332235	0.000514432469580051
174	surprisal + prev_surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	5	prev_surprisal_buggy	4	0.041068993318162	0.0207127281626578	-0.000390742932593113
175	surprisal + prev_surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	5	prev_surprisal_buggy	5	0.0342827857848533	0.0221606028345809	0.000117770258952987
176	surprisal + prev_surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	5	prev_surprisal_buggy	6	0.0342736611907224	0.0175713552727572	0.000973430510462947
177	surprisal + prev_surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	5	prev_surprisal_buggy	7	0.0240917781299244	0.0123751879404246	-0.00046235590693211
178	surprisal + prev_surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	5	prev_surprisal_buggy	8	0.0294739306487708	0.0119097989704935	0.000208274089396276
179	surprisal + prev_surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	5	prev_surprisal_buggy	9	0.0229266402860233	0.0117453114121844	0.00103297542000824
180	surprisal + prev_surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	5	prev_surprisal_buggy	10	0.0225054725909546	0.00580356388015169	0.00122965075883474
181	surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	6	prev_surprisal_buggy	1	0.0364006681281257	0.017585814351694	0.000917427478428934
182	surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	6	prev_surprisal_buggy	2	0.0443346488840479	0.0165929808758927	0.000514053709869344
183	surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	6	prev_surprisal_buggy	3	0.0352728991947115	0.0203294902958646	0.000491263632221184
184	surprisal + prev_surprisal_buggy + prev2_surprisal + prev3_surprisal	6	prev_surprisal_buggy	4	0.0399557726967936	0.0195995075412894	-0.00150396355396154
